Volcano_Name,Network,Station,Latitude,Longitude,Elevation,Starttime,Endtime
St_Helens,UW,ELK,46.305389,-122.342049,1270.0,1995-01-19T00:00:00,2599-12-31T23:59:59
St_Helens,UW,FL2,46.19622,-122.351486,1378.0,1999-09-28T00:00:00,2599-12-31T23:59:59
St_Helens,UW,HSR,46.17428,-122.18065,1720.0,1997-12-11T00:00:00,2599-12-31T23:59:59
St_Helens,UW,JUN,46.14706,-122.152428,1049.0,2001-08-01T00:00:00,2019-07-12T23:59:59
St_Helens,UW,KOS,46.462799,-122.196022,610.0,1997-04-18T00:00:00,2019-09-05T00:00:00
St_Helens,UW,LVP,46.065948,-122.401932,1130.0,2001-09-29T00:00:00,2015-12-15T00:00:00
St_Helens,UW,MTM,46.02533,-122.212868,1121.0,1995-09-17T00:00:00,2599-12-31T23:59:59
St_Helens,UW,PUPY,46.49542,-122.14613,816.3,2019-10-31T00:00:00,2599-12-31T23:59:59
St_Helens,UW,SHW,46.19364,-122.23492,1442.0,1997-06-26T00:00:00,2599-12-31T23:59:59
St_Helens,UW,SOS,46.243858,-122.137871,1270.0,2000-07-11T00:00:00,2599-12-31T23:59:59
St_Helens,UW,STD,46.23761,-122.223961,1268.0,2000-06-20T00:00:00,2017-09-14T00:00:00
St_Helens,UW,TDL,46.35067,-122.21704,1400.0,1995-01-19T00:00:00,2599-12-31T23:59:59
St_Helens,UW,YACT,45.932499,-122.419296,211.2,2008-10-27T00:00:00,2599-12-31T23:59:59
St_Helens,XD,ME04,46.450611,-122.351936,730.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,ME06,46.463291,-122.196968,643.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MF05,46.390369,-122.386757,727.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MF07,46.425629,-122.002274,515.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MF09,46.389938,-121.861,1216.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MG03,46.33807,-122.476189,638.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MG05,46.305882,-122.341927,1283.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MG06,46.35014,-122.217453,1408.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MG07,46.352852,-122.031013,1457.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MG08,46.34174,-121.928726,1547.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MH03,46.268421,-122.594116,373.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MH04,46.279461,-122.427071,920.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MH07,46.279812,-122.082024,1122.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MH09,46.297668,-121.801033,989.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MI04,46.195938,-122.410149,918.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MI05,46.231098,-122.292122,1255.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MI07,46.24823,-122.07328,1124.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MI08,46.253849,-121.97448,1246.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MI09,46.22937,-121.834473,1003.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MJ03,46.1591,-122.564957,397.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MJ06,46.167049,-122.26062,976.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,XD,MJ07,46.17878,-122.055779,509.0,2014-05-01T00:00:00,2016-12-31T23:59:59
