,template,clusterID
308,CC_OBSR_rpra_9,1
309,CC_OBSR_rpra_10,1
310,CC_OBSR_rpra_11,0
311,CC_OBSR_rpra_12,1
312,CC_OBSR_rpra_13,0
313,CC_OBSR_rpra_14,0
314,CC_OBSR_rpra_15,0
315,CC_OBSR_rpra_16,2
316,CC_OBSR_rpra_17,0
317,CC_OBSR_rpra_18,5
318,CC_OBSR_rpra_19,3
319,CC_OBSR_rpra_20,0
320,CC_OBSR_rpra_21,0
321,CC_OBSR_rpra_22,1
322,CC_OBSR_rpra_23,3
323,CC_OBSR_rpra_24,4
324,CC_OBSR_rpra_25,3
325,CC_OBSR_rpra_26,3
326,CC_OBSR_rpra_27,0
327,CC_OBSR_rpra_28,2
328,CC_OBSR_rpra_29,2
329,CC_OBSR_rpra_30,3
330,CC_OBSR_rpra_32,0
331,CC_OBSR_rpra_33,2
332,CC_OBSR_rpra_34,0
333,CC_OBSR_rpra_35,0
334,CC_OBSR_rpra_36,3
335,CC_OBSR_rpra_39,3
336,CC_OBSR_rpra_40,0
337,CC_OBSR_rpra_41,3
338,CC_OBSR_rpra_42,1
339,CC_OBSR_rpra_43,3
340,CC_OBSR_rpra_44,3
341,CC_OBSR_rpra_45,0
342,CC_OBSR_rpra_46,0
343,CC_OBSR_rpra_50,3
344,CC_OBSR_rpra_51,2
345,CC_OBSR_rpra_52,1
346,CC_OBSR_rpra_53,3
347,CC_OBSR_rpra_54,3
348,CC_OBSR_rpra_55,3
349,CC_OBSR_rpra_56,0
350,CC_OBSR_rpra_57,3
351,CC_OBSR_rpra_58,1
352,CC_OBSR_rpra_59,1
353,CC_OBSR_rpra_60,1
354,CC_OBSR_rpra_61,2
355,CC_OBSR_rpra_62,0
356,CC_OBSR_rpra_63,2
357,CC_OBSR_rpra_64,1
358,CC_OBSR_rpra_65,1
359,CC_OBSR_rpra_66,0
360,CC_OBSR_rpra_67,3
361,CC_OBSR_rpra_69,3
362,CC_OBSR_rpra_70,3
363,CC_OBSR_rpra_72,1
364,CC_OBSR_rpra_74,3
365,CC_OBSR_rpra_80,1
366,CC_OBSR_rpra_81,0
367,CC_OBSR_rpra_82,2
368,CC_OBSR_rpra_83,1
369,CC_OBSR_rpra_84,5
370,CC_OBSR_rpra_85,0
371,CC_OBSR_rpra_86,3
372,CC_OBSR_rpra_87,0
373,CC_OBSR_rpra_88,1
374,CC_OBSR_rpra_89,3
375,CC_OBSR_rpra_90,3
376,CC_OBSR_rpra_91,2
377,CC_OBSR_rpra_92,0
378,CC_OBSR_rpra_93,0
379,CC_OBSR_rpra_94,0
380,CC_OBSR_rpra_95,1
381,CC_OBSR_rpra_96,2
382,CC_OBSR_rpra_97,3
383,CC_OBSR_rpra_98,5
384,CC_OBSR_rpra_99,3
385,CC_OBSR_rpra_100,2
386,CC_OBSR_rpra_101,0
387,CC_OBSR_rpra_102,0
388,CC_OBSR_rpra_103,2
389,CC_OBSR_rpra_104,1
390,CC_OBSR_rpra_105,1
391,CC_OBSR_rpra_106,1
392,CC_OBSR_rpra_107,0
393,CC_OBSR_rpra_108,0
394,CC_OBSR_rpra_110,2
395,CC_OBSR_rpra_111,3
396,CC_OBSR_rpra_112,3
397,CC_OBSR_rpra_113,1
398,CC_OBSR_rpra_114,1
399,CC_OBSR_rpra_115,3
400,CC_OBSR_rpra_116,4
401,CC_OBSR_rpra_117,3
402,CC_OBSR_rpra_118,3
403,CC_OBSR_rpra_119,2
404,CC_OBSR_rpra_120,0
