Clustered,datetime
53,2014-11-13T06:47:51.890000
53,2014-11-13T11:21:48.650000
53,2014-11-13T12:07:22.200000
53,2014-11-13T12:15:47.770000
53,2014-11-13T13:03:49.150000
53,2014-11-13T17:30:10.060000
53,2014-11-15T13:34:17.670000
53,2014-11-15T14:30:21.200000
53,2014-11-16T02:43:33.900000
53,2014-11-16T04:03:09.080000
53,2014-11-16T14:19:36.830000
53,2014-11-17T02:48:34.610000
53,2014-11-17T07:02:33.470000
53,2014-11-17T23:24:29.610000
53,2014-11-18T13:12:47.580000
53,2014-11-19T07:31:42.440000
53,2014-11-22T10:13:17.720000
53,2014-12-01T06:06:25.370000
53,2014-12-01T16:52:39.210000
53,2014-12-02T11:26:14.750000
53,2014-12-03T03:14:32.760000
53,2014-12-03T14:08:42.760000
53,2014-12-04T13:49:24.890000
53,2014-12-26T18:19:50.240000
53,2014-12-27T03:42:31.820000
53,2015-01-04T06:40:21.880000
53,2015-01-04T07:41:53.650000
53,2015-01-04T07:55:29.120000
53,2015-01-04T08:33:10.710000
53,2015-01-04T11:38:03.560000
53,2015-01-05T01:47:59.120000
53,2015-01-05T19:25:04.510000
53,2015-01-05T22:23:29.390000
53,2015-01-05T23:17:27.710000
53,2015-01-06T06:46:48.820000
53,2015-01-06T11:04:27.200000
53,2015-01-06T15:38:22.580000
53,2015-01-07T05:47:00.680000
53,2015-01-07T14:42:49.670000
53,2015-01-07T23:52:31.730000
53,2015-01-08T10:04:10.050000
53,2015-01-08T10:18:50.530000
53,2015-01-08T15:17:53.660000
53,2015-01-08T18:10:51.880000
53,2015-01-08T19:26:01.730000
53,2015-01-09T07:07:47.290000
53,2015-01-09T08:38:57
53,2015-01-09T16:37:10.340000
53,2015-01-10T06:47:14.010000
53,2015-01-10T10:31:15.630000
53,2015-01-11T05:26:05.070000
53,2015-01-11T09:38:42.800000
53,2015-01-13T04:31:44.990000
53,2015-01-13T04:47:39.140000
53,2015-01-13T06:58:09.370000
53,2015-01-16T19:25:08.610000
53,2015-01-20T21:21:49.230000
53,2015-01-21T20:14:37.580000
53,2015-01-22T03:17:57.170000
53,2015-01-22T03:34:35.280000
53,2015-01-22T09:17:17.380000
53,2015-01-22T09:28:36.460000
53,2015-01-22T09:43:31.610000
53,2015-01-22T10:05:26.320000
53,2015-01-22T10:50:04.960000
53,2015-01-22T10:51:06.880000
53,2015-01-22T12:01:10.400000
53,2015-01-22T16:35:12.270000
53,2015-01-23T07:25:16.440000
53,2015-01-23T13:31:07.130000
53,2015-01-23T20:35:29.770000
53,2015-01-27T11:27:02.010000
53,2015-01-27T19:24:54.470000
53,2015-01-29T00:29:02.970000
53,2015-02-12T17:51:20.020000
53,2015-02-12T18:33:13.230000
53,2015-02-12T19:15:08.810000
53,2015-02-12T21:02:49.470000
53,2015-02-13T07:38:49.130000
53,2015-02-13T13:21:06.430000
53,2015-02-21T03:50:14.070000
53,2015-03-01T04:57:32.830000
53,2015-03-07T00:40:33.070000
53,2015-03-10T08:46:45.360000
53,2015-03-23T00:28:22.540000
53,2015-03-23T10:57:52.660000
53,2015-03-27T06:28:44.630000
53,2015-03-27T06:58:49.250000
53,2015-03-30T14:10:39.180000
53,2015-04-19T23:54:51.010000
53,2015-04-21T09:37:02.290000
53,2015-04-27T05:44:21.770000
53,2015-07-01T03:36:54.440000
53,2015-07-16T03:06:35.450000
53,2015-07-16T03:24:32.790000
53,2015-07-16T11:03:30.630000
53,2015-07-16T12:32:24.040000
53,2015-07-17T11:28:59.060000
53,2015-07-17T13:01:02.750000
53,2015-07-17T13:48:13.670000
53,2015-07-17T17:41:23.290000
53,2015-07-19T11:17:18
53,2015-07-22T07:26:55.580000
53,2015-07-23T10:39:09.350000
53,2015-07-24T15:22:07.470000
53,2015-07-27T11:02:06.170000
53,2015-07-29T23:33:08.490000
53,2015-08-02T13:01:45.550000
53,2015-08-06T15:44:19.800000
53,2015-08-09T05:03:13.860000
53,2015-08-10T15:57:39.610000
53,2015-08-13T07:10:26.310000
53,2015-08-13T11:40:45.760000
53,2015-08-13T19:49:46.700000
53,2015-08-14T15:27:20.910000
53,2015-08-30T22:57:58.680000
53,2015-08-31T00:25:22.470000
53,2015-08-31T04:16:23.100000
53,2015-08-31T06:15:30.480000
53,2015-08-31T13:22:18.360000
53,2015-08-31T18:13:27.540000
53,2015-08-31T22:53:06.860000
53,2015-09-01T19:36:25.040000
53,2015-09-02T23:51:50.730000
53,2015-09-03T07:33:36.860000
53,2015-09-03T14:23:37.080000
53,2015-09-04T05:06:55.170000
53,2015-09-05T19:40:36.420000
53,2015-09-06T00:04:56.740000
53,2015-09-06T03:37:59.540000
53,2015-09-06T09:54:43.090000
53,2015-09-14T14:12:44.180000
53,2015-09-14T14:38:39.970000
53,2015-09-14T16:29:54.040000
53,2015-09-14T18:07:10.900000
53,2015-09-15T04:01:38.840000
53,2015-09-20T04:48:04.920000
53,2015-09-22T15:24:58.550000
53,2015-09-22T22:34:58.280000
53,2015-09-25T22:14:38.450000
53,2015-09-28T04:56:17.220000
53,2015-10-01T05:44:39.840000
53,2015-10-05T21:19:04.280000
53,2015-10-05T21:20:32.360000
53,2015-10-09T03:15:30.680000
53,2015-10-15T03:33:39.610000
53,2015-10-15T08:46:55.790000
53,2015-12-15T02:47:30.060000
53,2015-12-30T10:16:21.410000
53,2015-12-30T23:53:04.590000
53,2016-02-15T12:42:56.440000
54,2014-07-14T07:29:51.460000
54,2014-07-17T22:54:09.630000
55,2014-07-25T00:44:04.680000
55,2014-07-26T20:07:09.570000
55,2014-11-16T14:03:31.040000
56,2014-08-05T03:21:42.540000
56,2014-08-05T05:08:11.010000
56,2014-08-05T10:33:52.250000
56,2014-08-05T22:45:21.180000
56,2014-08-06T03:31:59.350000
56,2014-08-18T23:40:34.760000
56,2014-08-19T03:10:38.470000
56,2014-08-19T08:04:17.300000
56,2014-09-15T02:49:30.310000
56,2014-09-15T13:16:38.550000
56,2014-11-17T04:14:21.840000
56,2015-01-13T20:17:06.680000
56,2015-07-16T03:16:49.720000
57,2014-08-11T08:21:15.780000
57,2014-08-11T10:54:46.610000
57,2014-08-12T01:59:20.360000
57,2014-08-12T02:00:43.040000
57,2014-08-13T20:03:15.190000
57,2014-08-14T05:04:59.320000
57,2014-08-14T08:21:08.570000
57,2014-08-14T19:10:21.620000
57,2014-08-14T19:13:29.160000
57,2014-08-14T20:47:01.460000
57,2014-08-14T20:54:13.980000
57,2014-08-14T21:00:05.990000
57,2014-08-14T22:17:54.440000
57,2014-08-14T22:23:21.540000
57,2014-08-14T22:26:07.810000
57,2014-08-14T22:29:09.430000
57,2014-08-14T22:33:03.570000
57,2014-08-18T10:02:14.310000
57,2014-08-18T10:33:29.720000
57,2014-08-18T10:50:00.470000
57,2014-08-18T10:58:42.340000
57,2014-08-18T12:13:02.800000
57,2014-08-19T05:15:00.440000
57,2014-08-21T05:18:24.950000
58,2014-08-11T10:58:00.510000
58,2014-08-13T20:17:38.040000
59,2014-08-14T05:15:38.620000
59,2014-08-14T18:17:34.060000
59,2014-08-14T19:52:49.780000
59,2014-08-14T20:07:13.240000
59,2014-08-17T12:29:09.050000
59,2014-08-18T10:03:23.570000
59,2014-08-18T10:33:40.240000
59,2014-08-18T10:34:02.790000
59,2014-08-19T04:04:46.340000
60,2014-08-14T18:21:01.960000
60,2014-08-14T18:41:18.890000
61,2014-08-14T18:45:32.300000
61,2014-08-14T18:49:06.510000
62,2014-08-14T19:29:01.600000
62,2014-08-14T19:34:39.190000
62,2014-08-14T19:37:32.870000
62,2014-08-14T19:40:06.990000
62,2014-08-14T19:43:29.810000
62,2014-08-14T21:08:28.860000
62,2014-08-14T21:17:11.490000
62,2014-08-14T21:19:51.120000
62,2014-08-14T21:22:12.100000
62,2014-08-21T07:56:33.270000
63,2014-08-14T20:16:14.670000
63,2014-08-14T20:22:59.830000
63,2014-08-14T20:30:17.980000
64,2014-08-14T22:50:02.620000
64,2014-08-14T22:53:00.690000
64,2014-08-14T22:56:15.100000
65,2014-08-14T23:13:28
65,2014-08-14T23:16:27.500000
65,2014-08-14T23:19:27.280000
66,2014-08-19T06:46:44.150000
66,2014-08-19T10:33:34.470000
66,2014-08-19T12:19:18.290000
66,2014-08-19T13:05:27.110000
66,2014-08-19T14:27:56.680000
66,2014-09-03T11:28:33.930000
66,2014-09-15T23:23:55.630000
66,2014-09-22T02:29:32.950000
66,2014-10-01T13:03:20.760000
66,2014-11-04T21:16:45.780000
66,2014-11-05T08:55:35.250000
66,2014-11-05T11:08:32.870000
66,2014-11-05T11:35:39.110000
66,2014-11-05T13:24:28.820000
66,2014-11-08T01:48:22.500000
66,2014-11-08T14:43:16.200000
66,2014-11-14T19:04:31.290000
66,2014-11-23T22:00:19.640000
66,2014-12-02T04:03:47.320000
66,2015-01-24T03:35:55.230000
66,2015-01-31T06:25:38.870000
66,2015-07-11T02:29:00.920000
67,2014-08-19T06:47:14.210000
67,2014-08-19T13:05:57.170000
67,2014-08-19T14:28:25.760000
67,2014-08-19T19:15:49.160000
67,2014-08-20T13:11:30.460000
67,2014-09-15T23:24:24.710000
67,2014-09-22T02:30:01.080000
67,2014-10-01T13:25:34.620000
67,2014-10-02T02:58:03.410000
67,2014-10-30T15:17:42.080000
67,2014-11-04T10:49:06.530000
67,2014-11-04T21:17:14.780000
67,2014-11-04T22:21:22.480000
67,2014-11-05T07:15:54.040000
67,2014-11-05T10:34:34.150000
67,2014-11-05T20:07:21.570000
67,2014-11-06T15:42:38.020000
67,2014-11-07T01:45:33.450000
67,2014-11-07T04:32:54.480000
67,2014-11-07T07:26:19.860000
67,2014-11-07T09:43:50.410000
67,2014-11-07T11:33:10.780000
67,2014-11-07T19:21:03.590000
67,2014-11-08T01:48:52.480000
67,2014-11-08T05:28:48.240000
67,2014-11-08T05:30:39.930000
67,2014-11-08T14:46:32.390000
67,2014-11-08T14:49:40.010000
67,2014-11-08T21:18:27.610000
67,2014-11-09T04:13:13.540000
67,2014-11-09T13:41:55.860000
67,2014-11-13T11:22:18.790000
67,2014-11-13T12:07:51.050000
67,2014-11-13T12:16:16.610000
67,2014-11-13T12:16:57.530000
67,2014-11-13T13:04:18.010000
67,2014-11-15T13:24:44.070000
67,2014-11-15T13:34:46.580000
67,2014-11-15T14:30:50.320000
67,2014-11-16T04:03:38.170000
67,2014-11-17T07:03:02.590000
67,2014-11-17T07:42:08.480000
67,2014-11-17T23:06:05.670000
67,2014-11-17T23:24:58.540000
67,2014-11-19T07:32:11.560000
67,2014-11-22T06:42:20.070000
67,2014-11-25T04:33:52
67,2014-11-25T04:35:43.100000
67,2014-12-01T06:06:54.500000
67,2014-12-01T16:53:08.330000
67,2014-12-02T11:26:43.860000
67,2014-12-03T03:15:01.870000
67,2014-12-03T14:09:11.880000
67,2014-12-03T17:26:37.430000
67,2014-12-08T14:17:03.750000
67,2014-12-10T13:53:42.830000
67,2014-12-11T00:07:37.880000
67,2015-01-04T06:09:35.820000
67,2015-01-04T06:40:49.900000
67,2015-01-04T07:42:21.680000
67,2015-01-04T08:33:40.670000
67,2015-01-04T09:29:43.430000
67,2015-01-04T09:50:47.310000
67,2015-01-04T10:07:55.740000
67,2015-01-04T10:34:46.560000
67,2015-01-04T10:36:47.560000
67,2015-01-04T11:38:33.500000
67,2015-01-04T17:18:32.750000
67,2015-01-05T14:10:02.890000
67,2015-01-05T15:41:04.500000
67,2015-01-05T19:25:34.420000
67,2015-01-05T22:23:59.280000
67,2015-01-05T23:27:16.150000
67,2015-01-06T01:53:44.100000
67,2015-01-06T04:08:17.340000
67,2015-01-06T06:47:18.750000
67,2015-01-06T11:04:57.080000
67,2015-01-06T15:38:52.480000
67,2015-01-07T05:47:30.620000
67,2015-01-07T11:19:34.190000
67,2015-01-07T14:43:19.620000
67,2015-01-07T21:18:00.180000
67,2015-01-08T08:00:36.170000
67,2015-01-08T10:04:39.930000
67,2015-01-08T13:19:16.220000
67,2015-01-08T15:18:23.560000
67,2015-01-08T18:11:21.750000
67,2015-01-08T19:26:31.640000
67,2015-01-09T07:22:16.190000
67,2015-01-09T08:39:26.900000
67,2015-01-09T16:37:40.270000
67,2015-01-10T06:47:43.940000
67,2015-01-10T10:31:45.510000
67,2015-01-10T14:51:49.830000
67,2015-01-10T15:03:48.410000
67,2015-01-11T05:26:34.980000
67,2015-01-11T09:39:12.670000
67,2015-01-11T16:01:19.850000
67,2015-01-12T00:30:15.140000
67,2015-01-13T04:14:10.160000
67,2015-01-13T04:48:09.050000
67,2015-01-16T19:25:38.540000
67,2015-01-20T21:22:19.170000
67,2015-01-21T20:15:07.550000
67,2015-01-22T02:12:52.410000
67,2015-01-22T09:17:47.230000
67,2015-01-22T09:19:33.270000
67,2015-01-22T09:29:44.520000
67,2015-01-22T09:36:55.850000
67,2015-01-22T09:44:01.430000
67,2015-01-22T10:19:50.530000
67,2015-01-22T10:51:36.700000
67,2015-01-22T12:01:40.220000
67,2015-01-22T18:44:13.340000
67,2015-01-22T21:12:57.860000
67,2015-01-24T03:36:25.220000
67,2015-01-24T20:42:18.310000
67,2015-01-28T22:55:20.060000
67,2015-02-12T17:51:48.910000
67,2015-02-12T18:33:42.130000
67,2015-02-12T19:11:59.720000
67,2015-02-12T19:15:37.670000
67,2015-02-12T21:03:18.370000
67,2015-02-13T07:39:18.030000
67,2015-02-14T17:26:46.910000
67,2015-02-17T12:41:47.200000
67,2015-02-21T16:12:14.020000
